isbn13,source,issue_type,details,action_taken
9780812554601,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782266090216,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573452717,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780375503900,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782070413836,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780898458657,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782266082754,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780936839653,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875799056,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781555038533,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780395312612,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=30; blurb=yes,Master JSON + source JSON updated
9780395312612,Amazon,Reviews Shortfall,Saved 13 reviews; target was 25,Saved available reviews and continued
9780395312612,Amazon,Scrape Success,method=requests+bs4; covers=1; reviews=13; blurb=yes,Master JSON + source JSON updated
9780395312612,Kobo,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780395312612,Kobo,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9780395312612,Audible,AMBIGUOUS_TITLE_MATCH,Audible: AMBIGUOUS_TITLE_MATCH for ISBN 9780395312612. AMBIGUOUS_TITLE_MATCH score=0.900 hint='The Golden Torc' found='The Man with the Golden Torc' | AMBIGUOUS_TITLE_MATCH score=0.450 hint='The Golden Torc' found='The Golden Touch' | AMBIGUOUS_TITLE_MATCH score=0.900 hint='The Golden Torc' found='The Man with the Golden Torc',Left fields N/A (refused wrong-book match) and continued
9780395312612,BookBub,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780395312612,BookBub,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9781555035310,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9781555035310,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=26; blurb=yes,Master JSON + source JSON updated
9781555035310,Amazon,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9781555035310,Amazon,Scrape Success,method=playwright; covers=1; reviews=5; blurb=yes,Master JSON + source JSON updated
9781555035310,Kobo,AMBIGUOUS_TITLE_MATCH,Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9781555035310. AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in 80 Days' | AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in Eighty Days' | AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in 80 Days',Left fields N/A (refused wrong-book match) and continued
9781555035310,Audible,AMBIGUOUS_TITLE_MATCH,Audible: AMBIGUOUS_TITLE_MATCH for ISBN 9781555035310. AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in 80 Days' | AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in 80 Days' | AMBIGUOUS_TITLE_MATCH score=0.760 hint='Around the ward in 80 days' found='Around the World in 80 Days',Left fields N/A (refused wrong-book match) and continued
9781555035310,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9781555035310.,Kept previous values (if any) and continued
9780875792071,Goodreads,Reviews Shortfall,Saved 4 reviews; target was 25,Saved available reviews and continued
9780875792071,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=4; blurb=yes,Master JSON + source JSON updated
9780875792071,Amazon,Missing Fields,Blurb unavailable,Stored N/A and continued
9780875792071,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780875792071,Amazon,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780875792071,Amazon,Scrape Success,method=playwright; covers=0; reviews=0; blurb=no,Master JSON + source JSON updated
9780875792071,Kobo,Network Failure,Kobo: could not fetch book data for ISBN 9780875792071.,Kept previous values (if any) and continued
9780875792071,Audible,Network Failure,Audible: could not fetch book data for ISBN 9780875792071.,Kept previous values (if any) and continued
9780875792071,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780875792071.,Kept previous values (if any) and continued
9780373241903,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9780373241903,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=27; blurb=yes,Master JSON + source JSON updated
9780373241903,Amazon,Missing Fields,Blurb unavailable,Stored N/A and continued
9780373241903,Amazon,Reviews Shortfall,Saved 4 reviews; target was 25,Saved available reviews and continued
9780373241903,Amazon,Scrape Success,method=playwright; covers=1; reviews=4; blurb=no,Master JSON + source JSON updated
9780373241903,Kobo,AMBIGUOUS_TITLE_MATCH,"Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9780373241903. AMBIGUOUS_TITLE_MATCH score=0.513 hint='Wedding Ring Promise' found='The Wedding Ring Matchmaker Series: Complete Four-Book Romantic Comedy Box Set' | AMBIGUOUS_TITLE_MATCH score=0.667 hint='Wedding Ring Promise' found='The Wedding Promise' | AMBIGUOUS_TITLE_MATCH score=0.494 hint='Wedding Ring Promise' found=""Modern Romance April 2024 Books 1-4: Two Secrets to Shock the Italian / A Wedding Negotiation with Her Boss / Accidentally Wearing the Argentinian's Ring / The Tycoon's Diamond Demand""",Left fields N/A (refused wrong-book match) and continued
9780373241903,Audible,Network Failure,Audible: could not fetch book data for ISBN 9780373241903.,Kept previous values (if any) and continued
9780373241903,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780373241903.,Kept previous values (if any) and continued
9780877476146,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=26; blurb=yes,Master JSON + source JSON updated
9780877476146,Amazon,Missing Fields,Blurb unavailable,Stored N/A and continued
9780877476146,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780877476146,Amazon,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780877476146,Amazon,Scrape Success,method=playwright; covers=0; reviews=5; blurb=no,Master JSON + source JSON updated
9780877476146,Kobo,Missing Cover Image,No cover downloaded,Continued without cover
9780877476146,Kobo,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780877476146,Kobo,Scrape Success,method=playwright; covers=0; reviews=0; blurb=yes,Master JSON + source JSON updated
9780877476146,Audible,Network Failure,Audible: could not fetch book data for ISBN 9780877476146.,Kept previous values (if any) and continued
9780877476146,BookBub,Missing Cover Image,No cover downloaded,Continued without cover
9780877476146,BookBub,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780877476146,BookBub,Scrape Success,method=playwright; covers=0; reviews=0; blurb=yes,Master JSON + source JSON updated
9781573459174,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9781573459174,Goodreads,Reviews Shortfall,Saved 1 reviews; target was 25,Saved available reviews and continued
9781573459174,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=1; blurb=yes,Master JSON + source JSON updated
9781573459174,Amazon,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9781573459174,Amazon,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9781573459174,Kobo,AMBIGUOUS_TITLE_MATCH,Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9781573459174. AMBIGUOUS_TITLE_MATCH score=0.382 hint='52 Nice Things to Do to Make Someone Happy' found='52 Things to Do Instead of Texting Your Ex' | AMBIGUOUS_TITLE_MATCH score=0.382 hint='52 Nice Things to Do to Make Someone Happy' found='52 Things to Do Instead of Texting Your Ex' | AMBIGUOUS_TITLE_MATCH score=0.400 hint='52 Nice Things to Do to Make Someone Happy' found='Things to Make and Do in the Fourth Dimension',Left fields N/A (refused wrong-book match) and continued
9781573459174,Audible,Network Failure,Audible: could not fetch book data for ISBN 9781573459174.,Kept previous values (if any) and continued
9781573459174,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9781573459174.,Kept previous values (if any) and continued
9780679408215,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=30; blurb=yes,Master JSON + source JSON updated
9780679408215,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780679408215,Amazon,Reviews Shortfall,Saved 6 reviews; target was 25,Saved available reviews and continued
9780679408215,Amazon,Scrape Success,method=playwright; covers=0; reviews=6; blurb=yes,Master JSON + source JSON updated
9780679408215,Kobo,Reviews Shortfall,Saved 3 reviews; target was 25,Saved available reviews and continued
9780679408215,Kobo,Scrape Success,method=playwright; covers=1; reviews=3; blurb=yes,Master JSON + source JSON updated
9780679408215,Audible,Reviews Shortfall,Saved 1 reviews; target was 25,Saved available reviews and continued
9780679408215,Audible,Scrape Success,method=requests+bs4; covers=1; reviews=1; blurb=yes,Master JSON + source JSON updated
9780679408215,BookBub,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780679408215,BookBub,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9780060156336,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9780060156336,Goodreads,Reviews Shortfall,Saved 13 reviews; target was 25,Saved available reviews and continued
9780060156336,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=13; blurb=yes,Master JSON + source JSON updated
9780060156336,Amazon,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780060156336,Amazon,Scrape Success,method=playwright; covers=1; reviews=5; blurb=yes,Master JSON + source JSON updated
9780060156336,Kobo,Network Failure,Kobo: could not fetch book data for ISBN 9780060156336.,Kept previous values (if any) and continued
9780060156336,Audible,Network Failure,Audible: could not fetch book data for ISBN 9780060156336.,Kept previous values (if any) and continued
9780060156336,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780060156336.,Kept previous values (if any) and continued
9780664257439,Goodreads,Reviews Shortfall,Saved 3 reviews; target was 25,Saved available reviews and continued
9780664257439,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=3; blurb=yes,Master JSON + source JSON updated
9780664257439,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780664257439,Amazon,Reviews Shortfall,Saved 2 reviews; target was 25,Saved available reviews and continued
9780664257439,Amazon,Scrape Success,method=playwright; covers=0; reviews=2; blurb=yes,Master JSON + source JSON updated
9780664257439,Kobo,AMBIGUOUS_TITLE_MATCH,"Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9780664257439. AMBIGUOUS_TITLE_MATCH score=0.400 hint='Glimpses of Glory: Daily Reflections on the Bible' found='Glimpses of Glory' | AMBIGUOUS_TITLE_MATCH score=0.355 hint='Glimpses of Glory: Daily Reflections on the Bible' found='Glimpses of Glory, Revelations in the Realms of God' | AMBIGUOUS_TITLE_MATCH score=0.400 hint='Glimpses of Glory: Daily Reflections on the Bible' found='Glimpses of Glory'",Left fields N/A (refused wrong-book match) and continued
9780664257439,Audible,Network Failure,Audible: could not fetch book data for ISBN 9780664257439.,Kept previous values (if any) and continued
9780664257439,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780664257439.,Kept previous values (if any) and continued
9780226323985,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9780226323985,Goodreads,Reviews Shortfall,Saved 15 reviews; target was 25,Saved available reviews and continued
9780226323985,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=15; blurb=yes,Master JSON + source JSON updated
9780226323985,Amazon,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780226323985,Amazon,Scrape Success,method=playwright; covers=1; reviews=5; blurb=yes,Master JSON + source JSON updated
9780226323985,Kobo,AMBIGUOUS_TITLE_MATCH,Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9780226323985. AMBIGUOUS_TITLE_MATCH score=0.400 hint='The Gilgamesh Epic and Old Testament Parallels' found='The Gilgamesh Epic' | AMBIGUOUS_TITLE_MATCH score=0.549 hint='The Gilgamesh Epic and Old Testament Parallels' found='An Old Babylonian Version Of The Gilgamesh Epic' | AMBIGUOUS_TITLE_MATCH score=0.355 hint='The Gilgamesh Epic and Old Testament Parallels' found='The Gilgamesh Epic in Genesis 1-11',Left fields N/A (refused wrong-book match) and continued
9780226323985,Audible,AMBIGUOUS_TITLE_MATCH,Audible: AMBIGUOUS_TITLE_MATCH for ISBN 9780226323985. AMBIGUOUS_TITLE_MATCH score=0.400 hint='The Gilgamesh Epic and Old Testament Parallels' found='The Epic of Gilgamesh' | AMBIGUOUS_TITLE_MATCH score=0.400 hint='The Gilgamesh Epic and Old Testament Parallels' found='The Epic of Gilgamesh',Left fields N/A (refused wrong-book match) and continued
9780226323985,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780226323985.,Kept previous values (if any) and continued
9780449237823,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=29; blurb=yes,Master JSON + source JSON updated
9780449237823,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780449237823,Amazon,Reviews Shortfall,Saved 13 reviews; target was 25,Saved available reviews and continued
9780449237823,Amazon,Scrape Success,method=playwright; covers=0; reviews=13; blurb=yes,Master JSON + source JSON updated
9780449237823,Kobo,Missing Cover Image,No cover downloaded,Continued without cover
9780449237823,Kobo,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780449237823,Kobo,Scrape Success,method=playwright; covers=0; reviews=0; blurb=yes,Master JSON + source JSON updated
9780449237823,Audible,Missing Cover Image,No cover downloaded,Continued without cover
9780449237823,Audible,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780449237823,Audible,Scrape Success,method=requests+bs4; covers=0; reviews=5; blurb=yes,Master JSON + source JSON updated
9780449237823,BookBub,Missing Cover Image,No cover downloaded,Continued without cover
9780449237823,BookBub,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780449237823,BookBub,Scrape Success,method=playwright; covers=0; reviews=0; blurb=yes,Master JSON + source JSON updated
9780830723331,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9780830723331,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=27; blurb=yes,Master JSON + source JSON updated
9780830723331,Amazon,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780830723331,Amazon,Scrape Success,method=playwright; covers=1; reviews=5; blurb=yes,Master JSON + source JSON updated
9780830723331,Kobo,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780830723331,Kobo,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9780830723331,Audible,Reviews Shortfall,Saved 4 reviews; target was 25,Saved available reviews and continued
9780830723331,Audible,Scrape Success,method=requests+bs4; covers=1; reviews=4; blurb=yes,Master JSON + source JSON updated
9780830723331,BookBub,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9780830723331,BookBub,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9780821764480,Goodreads,Reviews Shortfall,Saved 5 reviews; target was 25,Saved available reviews and continued
9780821764480,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=5; blurb=yes,Master JSON + source JSON updated
9780821764480,Amazon,Reviews Shortfall,Saved 1 reviews; target was 25,Saved available reviews and continued
9780821764480,Amazon,Scrape Success,method=playwright; covers=1; reviews=1; blurb=yes,Master JSON + source JSON updated
9780821764480,Kobo,AMBIGUOUS_TITLE_MATCH,Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9780821764480. AMBIGUOUS_TITLE_MATCH score=0.900 hint='The Hero Returns' found='The Hometown Hero Returns' | AMBIGUOUS_TITLE_MATCH score=0.900 hint='The Hero Returns' found='Shikongo - The Hero Returns' | AMBIGUOUS_TITLE_MATCH score=0.900 hint='The Hero Returns' found='The Homecoming Hero Returns',Left fields N/A (refused wrong-book match) and continued
9780821764480,Audible,AMBIGUOUS_TITLE_MATCH,"Audible: AMBIGUOUS_TITLE_MATCH for ISBN 9780821764480. AMBIGUOUS_TITLE_MATCH score=0.400 hint='The Hero Returns' found='Return of a Hero: Military Romance Collection' | AMBIGUOUS_TITLE_MATCH score=0.450 hint='The Hero Returns' found='Return of the Hero' | AMBIGUOUS_TITLE_MATCH score=0.450 hint='The Hero Returns' found=""Hero's Return""",Left fields N/A (refused wrong-book match) and continued
9780821764480,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9780821764480.,Kept previous values (if any) and continued
9781569551554,Goodreads,Missing Cover Image,No cover downloaded,Continued without cover
9781569551554,Goodreads,Reviews Shortfall,Saved 2 reviews; target was 25,Saved available reviews and continued
9781569551554,Goodreads,Scrape Success,method=requests+bs4; covers=0; reviews=2; blurb=yes,Master JSON + source JSON updated
9781569551554,Amazon,Reviews Shortfall,Saved 0 reviews; target was 25,Saved available reviews and continued
9781569551554,Amazon,Scrape Success,method=playwright; covers=1; reviews=0; blurb=yes,Master JSON + source JSON updated
9781569551554,Kobo,AMBIGUOUS_TITLE_MATCH,Kobo: AMBIGUOUS_TITLE_MATCH for ISBN 9781569551554. AMBIGUOUS_TITLE_MATCH score=0.364 hint='Real Life Begins After High School: Facing the Future Without Freaking Out' found='Life after High School',Left fields N/A (refused wrong-book match) and continued
9781569551554,Audible,Network Failure,Audible: could not fetch book data for ISBN 9781569551554.,Kept previous values (if any) and continued
9781569551554,BookBub,Network Failure,BookBub: could not fetch book data for ISBN 9781569551554.,Kept previous values (if any) and continued
9780860919933,Goodreads,Reviews Shortfall,Saved 4 reviews; target was 25,Saved available reviews and continued
9780860919933,Goodreads,Scrape Success,method=requests+bs4; covers=1; reviews=4; blurb=yes,Master JSON + source JSON updated
9780860919933,Amazon,Missing Cover Image,No cover downloaded,Continued without cover
9780860919933,Amazon,Reviews Shortfall,Saved 1 reviews; target was 25,Saved available reviews and continued
9780860919933,Amazon,Scrape Success,method=playwright; covers=0; reviews=1; blurb=yes,Master JSON + source JSON updated
